Protein Set,norm(Weighted SC Z1),norm(Weighted SC Z2),norm(Weighted SC K1),norm(Weighted SC Z3),norm(Weighted SC Z4),norm(Weighted SC Z6),norm(Weighted SC Z5),norm(Weighted SC Z7),norm(Weighted SC K2),norm(Weighted SC K3),norm(Weighted SC K4),norm(Weighted SC K5)
IF4A1_HUMAN,6.797595546969209,9.33514490667933,6.060441344158297,5.856884104773962,0.42803025600066125,2.837121207884554,9.15530303621153,7.807476931887498,5.876646895593828,2.493247741589455,11.186923580269031,6.1651844479826465
TYB4_HUMAN,7.797595546969209,3.3351449066793304,9.060441344158297,10.856884104773961,-2.5719697439993388,7.837121207884554,9.15530303621153,0.8074769318874981,5.876646895593828,6.493247741589455,9.186923580269031,14.165184447982647
K2C73_HUMAN,10.38092951608542,-0.6648550933206696,1.0604413441582974,-0.10296990944389162,-0.5719697439993388,1.8371212078845538,0.15530303621152974,-0.19252306811250186,-0.12335310440617242,2.493247741589455,1.1869235802690312,0.16518444798264653
UBE2N_HUMAN,5.797595546969209,5.33514490667933,1.0604413441582974,2.856884104773962,-2.5719697439993388,6.837121207884554,10.15530303621153,3.807476931887498,5.876646895593828,9.493247741589455,1.1869235802690312,5.1651844479826465
CAZA1_HUMAN,9.797595546969209,3.3351449066793304,12.060441344158297,9.856884104773961,30.42803025600066,4.837121207884554,9.15530303621153,13.807476931887498,4.876646895593828,7.493247741589455,4.186923580269031,5.1651844479826465
1433F_HUMAN,-0.09583251791354641,-0.5138781970346589,1.24694222130025,0.034503979251348404,-1.3321826422537333,1.9880981041705645,0.35956588888029195,-0.05042717449105716,1.0453857376043256,2.6797486187314075,1.3823054451743886,0.3250423469332233
SPB9_HUMAN,4.0747037394130565,5.383337884584604,4.060441344158297,7.676161391303503,9.1147768532907,5.294952590636019,4.793857132433454,1.62675397999846,0.2862854494516309,4.312524789700417,3.4158392716447636,1.1651844479826465
ARPC4_HUMAN,28.79759554696921,20.33514490667933,21.060441344158296,18.85688410477396,40.42803025600066,21.837121207884554,20.155303036211528,27.807476931887496,20.876646895593826,19.493247741589453,23.18692358026903,14.165184447982647
RL18_HUMAN,23.79759554696921,7.33514490667933,15.060441344158296,19.85688410477396,24.42803025600066,11.837121207884554,21.155303036211528,16.807476931887496,13.876646895593828,2.493247741589455,12.186923580269031,5.1651844479826465
SRSF1_HUMAN,7.797595546969209,2.3351449066793304,5.060441344158297,6.856884104773962,-5.571969743999339,1.8371212078845538,1.1553030362115297,-0.19252306811250186,5.876646895593828,4.493247741589455,1.1869235802690312,0.16518444798264653
ENOG_HUMAN,0.8597846491420604,-0.652417282199325,1.0604413441582974,-0.1306780841046935,-4.5222184622610575,1.8371212078845538,0.15530303621152974,1.8074769318874981,0.8766468955938276,2.493247741589455,1.1869235802690312,0.16518444798264653
ENPL_HUMAN,-0.20240445303079113,-0.6648550933206696,1.0604413441582974,-0.14311589522603807,-0.43863653782258094,1.8371212078845538,0.15530303621152974,-0.14807862259186244,-0.12335310440617242,2.5154699643497747,1.1869235802690312,0.16518444798264653
GIMA4_HUMAN,4.797595546969209,7.33514490667933,10.060441344158297,2.856884104773962,2.4280302560006612,4.837121207884554,17.155303036211528,12.807476931887498,4.876646895593828,12.493247741589455,13.186923580269031,11.165184447982647
CLIC1_HUMAN,10.797595546969209,4.33514490667933,2.0604413441582974,-0.14311589522603807,15.42803025600066,2.837121207884554,7.15530303621153,7.807476931887498,5.876646895593828,4.493247741589455,3.186923580269031,2.1651844479826465
XRCC5_HUMAN,1.7975955469692089,-0.6648550933206696,1.0604413441582974,3.856884104773962,-1.5719697439993388,1.8371212078845538,3.1553030362115297,-0.19252306811250186,-0.12335310440617242,2.493247741589455,1.1869235802690312,3.1651844479826465
PRDX2_HUMAN,6.776012943514619,10.31356230322474,3.556844084636813,4.842495543525183,6.4208357369576925,7.319135863951448,10.644511257647077,15.296685153323043,1.3730497552816328,2.9896506310795825,11.158146457771473,10.647199104049541
