Protein Set,K02,K04,K05,K07,K10,K12,K18,K20,K23,K24,K26,K27,K31,K32,K35,K41,K03,K06,K08,K09,K11,K13,K14,K15,K19,K22,K28,K29,K38,K40,K42,K43,K44,Z01,Z03,Z05,Z07,Z09,Z16,Z17,Z18,Z19,Z20,Z23,Z02,Z06,Z10,Z11,Z12,Z13,Z14,Z15,Z21,Z22,Z04,Z08,Z25
PA2G4,30.0,30.0,26.0,31.0,30.0,31.0,27.0,29.0,27.0,26.0,33.0,32.0,29.0,30.0,29.0,30.0,27.0,30.0,23.0,29.0,30.0,27.0,30.0,29.0,30.0,29.0,27.0,31.0,29.0,30.0,30.0,31.0,32.0,31.0,31.0,29.0,28.0,30.0,31.0,31.0,28.0,30.0,28.0,29.0,29.0,30.0,27.0,27.0,26.0,29.0,29.0,30.0,31.0,29.0,30.0,31.0,32.0
MGMT,8.0,11.0,8.0,10.0,8.0,9.0,8.0,3.0,8.0,8.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,8.0,6.0,9.0,8.0,10.0,7.0,9.0,9.0,8.0,8.0,11.0,9.0,7.0,10.0,10.0,9.0,11.0,8.0,8.0,8.0,9.0,11.0,9.0,9.0,8.0,10.0,10.0,10.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,7.0,8.0,9.0,10.0,9.0
RIOX1,6.0,8.0,7.0,8.0,7.0,8.0,5.0,3.0,4.0,5.0,7.0,6.0,7.0,7.0,7.0,8.0,4.0,6.0,4.0,7.0,7.0,5.0,7.0,7.0,2.0,5.0,4.0,7.0,6.0,5.0,7.0,4.0,7.0,5.0,5.0,7.0,6.0,8.0,7.0,6.0,7.0,6.0,4.0,6.0,5.0,5.0,2.0,1.0,4.0,4.0,7.0,6.0,7.0,7.0,8.0,8.0,5.0
H2BC26,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
MAPKAPK2,10.0,11.0,11.0,8.0,10.0,11.0,10.0,8.0,7.0,6.0,10.0,10.0,10.0,7.0,9.0,11.0,9.0,11.0,3.0,11.0,12.0,10.0,11.0,11.0,4.0,8.0,9.0,11.0,10.0,11.0,11.0,9.0,11.0,11.0,10.0,10.0,12.0,12.0,11.0,10.0,12.0,11.0,9.0,10.0,10.0,8.0,4.0,8.0,9.0,10.0,11.0,10.0,10.0,11.0,13.0,11.0,11.0
SF3B4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,2.0,5.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,5.0,3.0,5.0,3.0,3.0
ACTBL2,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0
CIAO2B,5.0,5.0,3.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,5.0,4.0,3.0,3.0,4.0,2.0,1.0,5.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,5.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,4.0,2.0,5.0,2.0,3.0,2.0,1.0,1.0,4.0,4.0,5.0,3.0,2.0,5.0,4.0,4.0
TARS2,3.0,3.0,4.0,5.0,2.0,3.0,4.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,3.0,4.0,4.0,3.0,5.0,1.0,2.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,4.0,0.0,1.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0
AKAP17A,4.0,4.0,4.0,3.0,4.0,4.0,3.0,0.0,1.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,1.0,3.0,3.0,1.0,4.0,4.0,1.0,1.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0
SRPK2,10.0,10.0,10.0,10.0,5.0,10.0,8.0,7.0,8.0,7.0,11.0,12.0,9.0,12.0,9.0,10.0,9.0,10.0,5.0,9.0,10.0,8.0,8.0,10.0,6.0,9.0,6.0,10.0,9.0,9.0,7.0,10.0,10.0,8.0,4.0,6.0,9.0,7.0,9.0,7.0,8.0,9.0,8.0,8.0,6.0,7.0,8.0,3.0,6.0,7.0,7.0,8.0,9.0,9.0,10.0,9.0,11.0
GSTM4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NUP160,20.0,18.0,17.0,16.0,16.0,17.0,17.0,2.0,7.0,7.0,9.0,3.0,14.0,9.0,11.0,18.0,9.0,9.0,3.0,20.0,21.0,10.0,16.0,18.0,2.0,11.0,8.0,16.0,12.0,15.0,16.0,17.0,14.0,18.0,18.0,17.0,22.0,21.0,21.0,20.0,21.0,18.0,12.0,14.0,17.0,11.0,4.0,8.0,13.0,19.0,21.0,18.0,11.0,20.0,21.0,17.0,15.0
ACTR3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCSD1,23.0,23.0,24.0,24.0,21.0,22.0,19.0,24.0,22.0,20.0,25.0,25.0,21.0,26.0,24.0,24.0,21.0,25.0,21.0,21.0,21.0,21.0,23.0,22.0,23.0,22.0,20.0,21.0,22.0,22.0,23.0,25.0,23.0,23.0,20.0,21.0,18.0,21.0,22.0,21.0,21.0,22.0,22.0,22.0,21.0,18.0,23.0,24.0,19.0,21.0,22.0,20.0,22.0,20.0,21.0,22.0,21.0
0.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,7.0,8.0,8.0,9.0,10.0,7.0,8.0,9.0,9.0,8.0,9.0,5.0,9.0,10.0,7.0,9.0,9.0,9.0,8.0,4.0,7.0,9.0,8.0,9.0,9.0,9.0,7.0,9.0,7.0,8.0,7.0,7.0,8.0,9.0,10.0,7.0,8.0,7.0,8.0,4.0,6.0,8.0,8.0,9.0,10.0,6.0,8.0,9.0,8.0,9.0
